"","StandortID","KaboStatus","AktStandorttyp","x_200","y_200","Gemeinde","periode","p.dat","param_txt","einheit","WertOB","WertOB_tab","Klasse_OB","WertUB","WertUB_tab","Klasse_UB"
"166",6428,"NS","Acker",2688200,1267800,"Berg a.I.",5,2015-04-30,"Quecksilber","ppm",0.03,"0.03","0",0.02,"0.02","0"
"167",6429,"NS","Acker",2687800,1268800,"Berg a.I.",1,1995-09-28,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"168",6429,"NS","Acker",2687800,1268800,"Berg a.I.",2,2000-08-22,"Quecksilber","ppm",0.04,"0.04","0",NA,NA,NA
"169",6429,"NS","Acker",2687800,1268800,"Berg a.I.",4,2010-04-15,"Quecksilber","ppm",0.04,"0.04","0",0.01,"0.01","0"
"170",6429,"NS","Acker",2687800,1268800,"Berg a.I.",5,2015-03-19,"Quecksilber","ppm",0.04,"0.04","0",0.01,"0.01","0"
"171",6430,"NS","Acker",2693800,1270800,"Andelfingen",1,1995-09-27,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"172",6430,"NS","Acker",2693800,1270800,"Andelfingen",3,2005-08-10,"Quecksilber","ppm",0.03,"0.03","0",0.02,"0.02","0"
"173",6430,"NS","Acker",2693800,1270800,"Andelfingen",4,2010-04-07,"Quecksilber","ppm",0.03,"0.03","0",0.02,"0.02","0"
"174",6430,"NS","Acker",2693800,1270800,"Andelfingen",5,2015-04-08,"Quecksilber","ppm",0.03,"0.03","0",0.02,"0.02","0"
"175",6431,"NS","Acker",2696600,1266400,"Seuzach",1,1995-09-20,"Quecksilber","ppm",0.05,"0.05","0",NA,NA,NA
"176",6431,"NS","Acker",2696600,1266400,"Seuzach",2,2000-11-01,"Quecksilber","ppm",0.05,"0.05","0",NA,NA,NA
"177",6431,"NS","Acker",2696600,1266400,"Seuzach",4,2010-03-31,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"178",6431,"NS","Acker",2696600,1266400,"Seuzach",5,2015-03-12,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"179",6432,"NS","Acker",2697400,1268600,"Dägerlen",1,1995-09-21,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"180",6432,"NS","Acker",2697400,1268600,"Dägerlen",2,2000-08-29,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
"181",6432,"NS","Acker",2697400,1268600,"Dägerlen",4,2010-04-21,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"182",6432,"NS","Acker",2697400,1268600,"Dägerlen",5,2015-03-11,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"183",6433,"NS","Acker",2695600,1270800,"Andelfingen",1,1995-09-27,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
"184",6433,"NS","Acker",2695600,1270800,"Andelfingen",2,2000-10-18,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"185",6433,"NS","Acker",2695600,1270800,"Andelfingen",3,2005-08-10,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
